Customer Kode, Ship From, Kode Ship From, Ship To, Kode Shipto, Harga Invoice
C-030,Teluk Lamong,SBY-07 ,Manyar,030MYR,68,00
C-031,Romokalisari,SBY-02 ,Manna-Romokalisari,031MRM,6,00
C-031,Margomulyo,SBY-03 ,Manna-Romokalisari,031MRM,27,50
C-032,TB. Langon 28,,East Hope-Ngoro,032EHN,64,00
C-032,New Hope-Mojosari,,East Hope-Ngoro,032EHN,52,50
C-032,East Hope-Ngoro,,New Hope-Mojosari,032NHM,52,50
C-032,Berkat ABBA,,East Hope-Ngoro,032EHN,68,00
C-033,Romokalisari,SBY-02 ,Romokalisari,033RMK,10,00
C-033,Romokalisari,SBY-02 ,Cpi Sepanjang,033CIS,48,00
C-035,Tb.Langon,,Panca PP-Gedangan,035PPG,41,00
C-035,KIG-Gresik,,Panca PP-Gedangan,035PPG,51,00
C-035,Teluk Lamong,SBY-07 ,Panca PP-Gedangan,035PPG,41,00
C-035,Pelabuhan Perak,SBY-20 ,Panca PP-Gedangan,035PPG,39,00
C-037,Romokalisari,SBY-02 ,SPC-Trosobo,037SPT,52,00
C-037,Tanjung Batu,SBY-29 ,SPC-Trosobo,037SPT,50,35
C-037,Darmo Sugondo Gresik,,SPC-Trosobo,037SPT,55,00
C-037,KIG-Gresik,,SPC-Trosobo,037SPT,62,00
C-038,Romokalisari,SBY-02 ,Siantar Top-Sda,038STT,60,00
C-038,Romokalisari,SBY-02 ,Siantar Top-Sda,038STT,47,50
C-038,Siantar Top-Sda,,New Hope-Jemundo,038NHJ,60,00
C-038,Siantar Top-Sda,,Margomulyo,038MGM,58,00
C-038,Siantar Top-Sda,,East Hope-Ngoro,038EHN,70,00
C-038,Siantar Top-Sda,,Wirifa Sakti Ngoro,038WSN,70,00
C-038,Siantar Top-Sda,,MS. Gempol,038MSG,65,00
C-038,Siantar Top-Sda,,New Hope - Mojosari,038NHM,65,00
C-038,Siantar Top-Sda,,Sierad Wonoayu,038SRW,73,00
